name,score,title,place,date,verified purch,text,upvotes 
Mr.DavisMusic,5.0 out of 5 stars,It was brand new,the United States ,February 11 2019,Verified Purchase,  Was a little hesitant with some of the reviews but I am happy to say this was a brand new Xbox in factory boxing. Works well and I have had no issues. Great deal!,One person found this helpful
Jay Cooley,5.0 out of 5 stars,Good value.,the United States ,July 28 2018,Verified Purchase,"  Bought the warehouse deal and not sorry. Arrived in the retail box, neat and clean with all accessories. Transferred all data from old one with external drive. Looks essentially brand new. Operates much quicker than the original Xbox One.",One person found this helpful
Erin Togerson,5.0 out of 5 stars,As expected,the United States ,July 23 2019,Verified Purchase,"  Came as ordered, very quickly! Even came with a few extras (some kind of trial pass, some downloads). Step son was happy with it.",0 people found this helpful
dallas,1.0 out of 5 stars,Listed new. ARE USED,the United States ,April 7 2019,Verified Purchase,  Got a used xbox. Hair all over and stickers ripped from box. You can get a better USED price for local listing. Buyer beware!!,One person found this helpful
RUSHDI T AL HAKIM,5.0 out of 5 stars,Great!!,the United States ,July 20 2018,Verified Purchase,  Great!!,2 people found this helpful
Matt,5.0 out of 5 stars,Most Versatile Gaming System Made,the United States ,July 2 2019,Verified Purchase,  Works great to control your entertainment system. Just add the Xbox remote control instead of the gaming controller and a IR repeater. I use it more for streaming and watching movies than gaming. It can also be connected to Alexa for voice control.,0 people found this helpful
Quietstorm80,5.0 out of 5 stars,XBOX OVER PLAYSTATION ANY DAY.,the United States ,July 29 2019,Verified Purchase,"  I already own an Xbox but had it packed for an impending move. When the move got delayed and I couldn’t find my existing one in the sea of boxes, I just decided to buy this one to keep me busy. Love Xbox.",0 people found this helpful
Teddii Pugsly,1.0 out of 5 stars,Buy elsewhere,the United States ,July 17 2019,Verified Purchase,  Nothing but problems. Xbox over heating. Turning off and not working. Controller already broken. Second Xbox from Amazon in 6 months and both are trash. Fighting for a replacement. Tired of rebuying garbage.,0 people found this helpful
Conner Marchetti,3.0 out of 5 stars,Not sure why it was discontinued.....,the United States ,January 19 2019,Verified Purchase,"  Been having problems lately... xbox is acting funny, controller randomly disconnects at times. Not sure if I bought a actual Xbox One  S or a broken version of it and that's why it's discontinued.",0 people found this helpful
Rachel Peterson,1.0 out of 5 stars,GARBAGE & AWFUL CUSTOMER SUPPORT,the United States ,March 19 2020,Verified Purchase,  I purchased the xbox one s and it worked for about a month. the systems software crashed. I messaged them about a return/refund and never heard back. DO NOT PURCHASE FROM Blizzard LLC.!!! 0/10... If I could've voted 0 stars I would've.,One person found this helpful
slbroug74,5.0 out of 5 stars,Good surprise at Christmas,the United States ,January 6 2020,Verified Purchase,"  This was a Christmas gift. The box was resealed, which is suspicious, as it was not listed as refurbished. Fortunately, the unit worked like it was new. My son is very happy",0 people found this helpful
Marquez M.,5.0 out of 5 stars,Love it,the United States ,July 28 2019,Verified Purchase,  This was the second Xbox one I brought and this a version is so much better and connects to all my previous owned games and controllers easily and internet works much better in this version,0 people found this helpful
Shanti Reed,4.0 out of 5 stars,I’m happy with my purchase//has some false advertising (pertaining to storage).,the United States ,January 26 2021,Verified Purchase,"  There were some small holes on the box. The item promotes that it has 1tb storage, while mine that i received only has 750GB storage. Other than that, everything is working great! All parts of the product were packaged securely. The console is fast. No missing or broken parts. I also received it today, days before its scheduled arrival.",0 people found this helpful
C Kole Peterson,5.0 out of 5 stars,Good performance,the United States ,October 26 2019,Verified Purchase,"  Good price, works great, good performance. Backwards compatible with many games, but not all.",0 people found this helpful
Adrian,5.0 out of 5 stars,Received what seller offered,the United States ,January 16 2020,Verified Purchase,"  It's what you expect from a Microsoft product, for me there was a significant difference in the performance of the console since I had the Day One Xbox One (many years ago). So console performs well, loading screens time do decrease and 4k is great in modern games, also far render in backgrounds feels  good. Installation time for Disk is a lot faster.",0 people found this helpful
johnitta m bland,1.0 out of 5 stars,BAD CONTROLLER,the United States ,June 21 2020,Verified Purchase,  Received game in good condition. But controller not working correctly even after changing batteries. This was a Father's Day gift and he was not able to play. Not happy at all. Will not purchase from this seller again.,0 people found this helpful
Nicole,4.0 out of 5 stars,Great,the United States ,March 25 2020,Verified Purchase,"  I was very exited when it arrived. It said it was suppose to come in 1-2 weeks but came in 3 days which is awesome, but the console has only 700GB and its suppose to have 1tb.",One person found this helpful
Brittney Westbrook,2.0 out of 5 stars,No power brick,the United States ,April 27 2019,Verified Purchase,"  It didn't come with a power brick? Are you serious? So I cant even use it until i pay even more money for a power brick. It comes with ""everything you need"", yeah right.",One person found this helpful
mark,3.0 out of 5 stars,Broken Controller,the United States ,November 14 2019,Verified Purchase,"  Xbox was fantastic until I was playing and the controllers joystick just broke! Tried to just replace the controller and it seems all I can do is return it, not too happy.",One person found this helpful
Rachel Dennison,4.0 out of 5 stars,Controller,the United States ,October 4 2018,Verified Purchase,"  The xbox is working great (though a little slow), but the controller that came with it is not working well. It constantly disconnects and I have to take the batteries out to reconnect. I will be in the middle of a game and all of a sudden the screen will say "" reconnect controller."" I talked to the provided tech support and they were no help. Overall I am happy but I am going to have to invest in another controller.",0 people found this helpful
Mireya,1.0 out of 5 stars,Laggy,the United States ,April 19 2020,Verified Purchase,"  The amazon box it arrived in was soaked, I’m not sure if it’s the console its self or the fact that my package was left it the pouring rain even though I have a covered porch but it runs really slow and lags a lot. My WiFi is over 400 mbps so it’s not my connection that makes it lag.",0 people found this helpful
Marco Gonzalez,5.0 out of 5 stars,Great.,the United States ,June 18 2019,Verified Purchase,  Bueno.,One person found this helpful
Janee C.,1.0 out of 5 stars,Buyer beware!!! Stopped working the 2nd day,the United States ,July 29 2019,Verified Purchase,  This stopped working after 1 day of use. Keeps showing a startup error. Called Microsoft to help us and they advised we have to buy a new Xbox because of all of the error codes this system was giving us.,One person found this helpful
Russell R. Davis,4.0 out of 5 stars,Fan loudness.,the United States ,May 7 2019,Verified Purchase,"  There's not too much of negative things about this Xbox one s, the only fall back I see is that the fan is much louder then my original Xbox one. The controller does seem to be faster responding on fighting games and online that's load a bit faster.",0 people found this helpful
Steven W.,5.0 out of 5 stars,It's a gaming device?! What else is there beautiful in every way,the United States ,October 1 2019,Verified Purchase,"  Mind my room, but beautiful buy.. Used to have the original Xbox One model traded it for a ps4 and ended up selling that and been meaning to get an upgrade, so got this :) not disappointed came in a few short hours, runs beautifully and quick, is the 1TB model as shown would recommend to anyone!",0 people found this helpful
Trent,5.0 out of 5 stars,Good buy,the United States ,July 6 2018,Verified Purchase,  Good buy,2 people found this helpful
Amazon Customer,1.0 out of 5 stars,"Buy from Microsoft, instead of this company",the United States ,May 13 2020,Verified Purchase,  Everything was ok. But the disc reader wasn't working. Tried to contact the company for them to fix or do right with product. But no response to my email. Poor customer service,One person found this helpful
Joe Dawson,5.0 out of 5 stars,Solid purchase,the United States ,May 5 2019,Verified Purchase,  It was exactly what it should have been for a better than usual price. Shipped fine.,One person found this helpful
Ron,4.0 out of 5 stars,The box looked to be used.,the United States ,January 25 2018,Verified Purchase,  The box looked to be used. The Xbox seemed to be new so It didn't bother me as much that the box looked used,3 people found this helpful
Matthew Davis,5.0 out of 5 stars,"Prompt, accurate, and brand new as advertised",the United States ,April 9 2019,Verified Purchase,"  I loved that I could hardly tell that the product wasn't from Amazon or XBox themselves. The shipping was great, the product was almost exactly brand new, and worked perfectly. Very happy with this purchase. Unbeatable prices, too!",One person found this helpful
Stephen,5.0 out of 5 stars,Awesome Move,the United States ,August 21 2020,Verified Purchase,  I got this right before quarantine. Best decision of my life.,0 people found this helpful
Joe lindsay,5.0 out of 5 stars,Five Stars,the United States ,May 21 2018,Verified Purchase,  Yes my kids really enjoy this game 1tb is definitely enough space for there games,3 people found this helpful
Ian,5.0 out of 5 stars,A good Xbox,the United States ,July 28 2019,Verified Purchase,"  It works really well, the only issue I have is the controller I got with it likes to disconnect itself and I have to reconnect the battery pack and turn it back on. Otherwise the Xbox itself hasn't given me much trouble.",0 people found this helpful
Deborah A Legge,5.0 out of 5 stars,Finally got one.,the United States ,February 17 2020,Verified Purchase,"  Purchased the Xbox One S because my son and grandson have one and now I can join in with them on the fun.  Delivery was suppose to be Sunday 9 p.m., but it arrived Sunday at 10.34 a.m.  Spent all day rearranging my area to have everything within reach.  Love it.",0 people found this helpful
Tim Hobson,5.0 out of 5 stars,Good deal,the United States ,August 16 2019,Verified Purchase,"  I’m very happy with my purchase, I Cantel it’s not new everything works great",0 people found this helpful
Elaina Elliott,5.0 out of 5 stars,Fantastic,the United States ,August 25 2020,Verified Purchase,"  Ookay, so I bought this for my boyfriend for his birthday as the major surprise. Needless to say, he absolutely LOVED it! I also got him a few games and my sister's fiancé even gave him a game! Now he plays it constantly and it makes me incredibly happy to see him enjoying video games again!",0 people found this helpful
Ray,5.0 out of 5 stars,Nice,the United States ,June 21 2020,Verified Purchase,  Just as described. Everything was brand new and never opened. I was very satisfied with my purchase.,0 people found this helpful
Emilio,5.0 out of 5 stars,Es perfecta recomendada,the United States ,January 11 2020,Verified Purchase,  Es la mejor todo perfecto  comple xon todo perfecta manejabilidad,0 people found this helpful
Austin Forbes,2.0 out of 5 stars,Broke Controller,the United States ,July 31 2019,Verified Purchase,"  Unit seems to work well, but the controller buttons are not working properly. Every time I press down, B, or X buttons it reacts like I have pressed them twice. Messaged seller and have not received a response.",One person found this helpful
Vanessa Emmons,5.0 out of 5 stars,Works Amazingly,the United States ,April 28 2019,Verified Purchase,  Great console! Came with all the cords and things needed to be set up. Had it for a week now and it is working great.,0 people found this helpful
annie carpenter,5.0 out of 5 stars,Would recommend,the United States ,June 17 2018,Verified Purchase,  The Xbox is in perfect condition and has just as much storage as promised!,3 people found this helpful
Jeremy DeWitt Robertson,1.0 out of 5 stars,Defective upon arrival,the United States ,September 13 2020,Verified Purchase,"  System arrived on time, but the system began making loud clicking sounds from the hard drive. My system that was sent to me was deemed faulty by microsoft when I did an online chat. I doubt very seriously the console quality is good anymore for xbox or playstation. Very disappointed and even without a job, 400 dollars is too much.",0 people found this helpful
Coffin Closet,5.0 out of 5 stars,As described,the United States ,November 6 2019,Verified Purchase,"  Good condition,  works great 6 months later",0 people found this helpful
Amber,5.0 out of 5 stars,"Great price, very sleek design.",the United States ,April 28 2019,Verified Purchase,"  Love the look, 1st time user for this type of console and its great addition to my gaming collection.",0 people found this helpful
Bruce L.,5.0 out of 5 stars,As advertized,the United States ,June 5 2019,Verified Purchase,  Came in 2 days. new out of box. Works great. no problems so far.,0 people found this helpful
John Blink,3.0 out of 5 stars,Not user friendly,the United States ,July 11 2019,Verified Purchase,  Maybe consider Playstation Xbox 1 is a pain in the A$$,0 people found this helpful
Tyson Brant Sr,5.0 out of 5 stars,Very good,the United States ,September 6 2019,Verified Purchase,  XBOX ONE S works just fine a good purchase,0 people found this helpful
Mrs. G,5.0 out of 5 stars,"Great product, very happy",the United States ,August 20 2019,Verified Purchase,"  Works great, no problems, my son is loving it!",0 people found this helpful
Dan,5.0 out of 5 stars,Worth every dollar,the United States ,February 28 2019,Verified Purchase,  Had the first version of an Xbox one was ok until overtime it broke. These are more reliable. Save the extra $$$ and buy these you won't regret it,0 people found this helpful
Michael,5.0 out of 5 stars,Love how clean it is,the United States ,May 26 2019,Verified Purchase,  It is literally brand new everything comes with it. There are no problems and it works good sorry for the people who got bad ones but it is like a 85% chance you get one new or in good condition,One person found this helpful
Carlye Speer,5.0 out of 5 stars,Great Customer Service and Console,the United States ,December 3 2019,Verified Purchase,  Great console and customer service. The headphone jack on my controller happened to be faulty and Microsoft sent me a new controller for free and even sent me a limited edition styled one! Great service!,0 people found this helpful
Connie Bedwell,5.0 out of 5 stars,Works fine,the United States ,April 3 2019,Verified Purchase,  So my grandsons can play with me and their friends while staying at my house,0 people found this helpful
michael freda,5.0 out of 5 stars,works great worth the money,the United States ,February 1 2020,Verified Purchase,  great gaming system ... quick delivery,0 people found this helpful
Em,5.0 out of 5 stars,Great gaming console,the United States ,June 15 2019,Verified Purchase,"  I was really nervous after reading reviews that said they got a used Xbox. Mine came in perfectly new condition even though the box looked banged around a bit. Xbox works well, no controller issues either. I’m happy with my purchase.",One person found this helpful
Jeffrey Bailey,5.0 out of 5 stars,Great deal,the United States ,July 18 2019,Verified Purchase,  brand new in the box brand new in the box,One person found this helpful
AmyMomofFive,5.0 out of 5 stars,Product as described.,the United States ,November 2 2019,Verified Purchase,  Product was as described. Everything was as I expected it. New. Have had it a few months and still working perfectly after daily use.,0 people found this helpful
Gerald Addison,5.0 out of 5 stars,GREAT MODEL,the United States ,July 26 2019,Verified Purchase,  WORKS LIKE IT SHOULD AND ARRIVED ON TIME.,0 people found this helpful
Bryan,5.0 out of 5 stars,It is what it is,the United States ,February 13 2020,Verified Purchase,  It’s an Xbox of course it’s good,0 people found this helpful
Anita Schoeman,5.0 out of 5 stars,Thanks,the United States ,February 8 2020,Verified Purchase,  Perfect,One person found this helpful
Lauren,5.0 out of 5 stars,Love it !,the United States ,October 20 2020,Verified Purchase,  Wow came in great condition!! Brand new controller too !  It also came CrAzY FAST!!!Thank you guys !!Game time here I come !!!,One person found this helpful
J. Bullis,5.0 out of 5 stars,Great,the United States ,September 20 2019,Verified Purchase,"  Came new, and in good condition, no complaints.",0 people found this helpful
M R Art,5.0 out of 5 stars,Thank you,the United States ,July 13 2020,Verified Purchase,  Just wanted I wanted and fast shipping.,0 people found this helpful
Erin werth,3.0 out of 5 stars,Disc Drive doesn’t Work,the United States ,August 22 2019,Verified Purchase,"  Disc drive doesn’t work and it says it comes with a Xbox Live pass but it didn’t. Was a gift and now I feel ridiculous. Also, bought some games that I can’t play that I can’t return.",One person found this helpful
ScholDaddy,2.0 out of 5 stars,Love Xbox - just not this one...,the United States ,February 23 2019,Verified Purchase,  Unfortunately I had to return this one because the disc drive did not work. Bummer.,0 people found this helpful
J. Warner,5.0 out of 5 stars,it's an xbox... what else can I say?,the United States ,July 18 2019,Verified Purchase,  it's an xbox... what else can I say?,0 people found this helpful
Katie Nicole Carroll,5.0 out of 5 stars,Product review,the United States ,February 25 2019,Verified Purchase,"  It works perfectly. I was honestly surprised but this product is very satisfying! No quirks, no problems, nothing. I love it!!",0 people found this helpful
Amazon Customer,1.0 out of 5 stars,VERY DISAPPOINTED!!!,the United States ,August 18 2020,Verified Purchase,"  Spend over $300 for an item that doesn't allow the user access to their account. Seller says it's a Microsoft issue, not their problem. Don't waste your time or money. Learn from my lesson.",0 people found this helpful
Janio Suppini,1.0 out of 5 stars,Not a new product -- factory seals are broken.,the United States ,May 18 2019,Verified Purchase,"  The product I recieved had the factory seals broken, meaning the unit was not a new product. I returned it, got a replacement, and the replacement unit had the factory seal popped, too. This is not a new unit.",One person found this helpful
Michael Gilmore,1.0 out of 5 stars,FALSE ADVERTISING DO NOT BUY,the United States ,March 31 2020,Verified Purchase,"  DO NOT BUY FROM HERE: False advertising. I just got shipped an xbox one S all digital, not the xbox one s with a disc slit pictured and described here.",One person found this helpful
Barabajagal,4.0 out of 5 stars,Works like it should.,the United States ,February 26 2020,Verified Purchase,  No battery for controller but runs fine. Either movies or games it's on constantly. Fairly high price for refurb but was in range what I had so bought it.,0 people found this helpful
Juan ,3.0 out of 5 stars,It’s straight but you might will most likely get a returned Xbox cuh,the United States ,December 8 2019,Verified Purchase,"  Work good but comes used, I read to previous comments and thought it was an exaggeration but no. I should get some money back because I paid for a NEW Xbox but it’s whatever at this point. It’s straight just that you might get someone else’s return ",0 people found this helpful
STL USA,5.0 out of 5 stars,perfect for me needs,the United States ,August 19 2019,Verified Purchase,  cant tell the difference from the xbox x,0 people found this helpful
Paintcanwolf,5.0 out of 5 stars,Bargain 4k gaming,the United States ,February 26 2019,Verified Purchase,  I've always been an xbox fanboy. Nice cheap replacement for my old xbone.,0 people found this helpful
confused,5.0 out of 5 stars,Five Stars,the United States ,July 31 2018,Verified Purchase,  working well!,One person found this helpful
G,5.0 out of 5 stars,Just as described works perfectly!,the United States ,February 23 2019,Verified Purchase,  I recently got one as a Christmas gift for my younger brother and everything worked perfectly right out of the box!I wouldn't hesitate to buy another one if needed.,0 people found this helpful
T-Math,5.0 out of 5 stars,Xbox is the best,the United States ,October 14 2019,Verified Purchase,"  I love my xbox! The 1 terabyte hard drive lets me have all of my games in one place and by sharing my xbox live account with my friend, we can split the costs of games.",0 people found this helpful
Amber Bourg,5.0 out of 5 stars,Great deal,the United States ,March 2 2020,Verified Purchase,  Beautiful xbox,0 people found this helpful
eric bazinaw,5.0 out of 5 stars,Great entertainment,the United States ,November 2 2019,Verified Purchase,  Great entertainment,0 people found this helpful
Phil,5.0 out of 5 stars,Everything,the United States ,August 2 2019,Verified Purchase,  This is hands down thr best entertainment counsol I have ever owned. Literally has replaced my ps4 because of the game pass. For 14. 99 a month I have unlimited games to play and live. Plus with the terabyte hard rive storage is no issue.,0 people found this helpful
Audra,5.0 out of 5 stars,Great product!,the United States ,December 21 2018,Verified Purchase,  This unit was as described! Fast shipping! Very happy with the purchase.,0 people found this helpful
Mathew,4.0 out of 5 stars,Good buy.,the United States ,June 30 2019,Verified Purchase,"  The Xbox One line of consoles seems to have a lot of hiccups, and although a great choice... I’m kinda disappointed for this to be the succession of the Xbox 360.Received in perfect condition.",0 people found this helpful
Amazon Customer,5.0 out of 5 stars,Great Game System,the United States ,January 11 2020,Verified Purchase,  Came in when expected. Box was in excellent condition and the Xbox itself works as expected.,0 people found this helpful
Carlos A.,1.0 out of 5 stars,Faulty system,the United States ,September 11 2020,Verified Purchase,  At first I thought okay maybe it will work better with a rechargeable battery pack.Then I bought a brand new controller and still have the same problem.  The xbox keeps disconnecting from the controllers and the wireless headset.  Sold me a damaged xbox.,0 people found this helpful
Bigdaddy88,5.0 out of 5 stars,Works great,the United States ,April 27 2019,Verified Purchase,  Xbox One S 1TB really fast shipping Xbox One box was opened this is not a brand new system seems brand new no scratches no scuffs operates as it should no complaints here great price thank you had for about 2 weeks now,0 people found this helpful
Tory,1.0 out of 5 stars,USED,the United States ,August 1 2019,Verified Purchase,  Used. Product description failed to mention that.,2 people found this helpful
Jacob Davis,3.0 out of 5 stars,Controller defective.,the United States ,August 3 2019,Verified Purchase,  Controller is defective and the A button only registers a click 2 out of 3 times and have to keep clicking it to work. Made sure there was a clear path to the Xbox and other controller I bought doesn't have this issue. Other than that good Xbox one!,0 people found this helpful
Heather Ring,5.0 out of 5 stars,Just what my son was looking for,the United States ,August 22 2019,Verified Purchase,"  He'd been looking for a replacement when his original x-box died. So happy to find one of the same style with the hard drive. Really fast shipping, too.",0 people found this helpful
teresa,4.0 out of 5 stars,As advertised,the United States ,December 12 2018,Verified Purchase,  Working good so far was Christmas gift but gave in and already gave it,0 people found this helpful
Lee Britt,5.0 out of 5 stars,Great product,the United States ,May 19 2020,Verified Purchase,  Works great. Arrived on time. Saved our lives during quarantine. Lol,0 people found this helpful
Liz Carrol,5.0 out of 5 stars,Happy Mom! Happy Son!,the United States ,November 25 2019,Verified Purchase,  I was very pleased to get a good deal on this system even though it wasnt the 2 remotes I really wanted but my budget said get this one and 2 days later it was here! No damage to the box so I believe my son will be a happy 8 year old on Christmas! He deserves it for being a straight A student!,0 people found this helpful
Michael Gendek,5.0 out of 5 stars,Family entertainment center,the United States ,May 6 2020,Verified Purchase,  Refurbished is awesome,0 people found this helpful
Jeffrey,5.0 out of 5 stars,It works great,the United States ,July 14 2019,Verified Purchase,  No issues works outa the box,One person found this helpful
FDeacy Family,5.0 out of 5 stars,"Gift for kids, they love!",the United States ,August 23 2019,Verified Purchase,"  Gift for kids, they love!",0 people found this helpful
ANDY GARCIA,5.0 out of 5 stars,Good,the United States ,September 8 2019,Verified Purchase,  Good,0 people found this helpful
Michael Estep,5.0 out of 5 stars,Great Price,the United States ,April 23 2019,Verified Purchase,  This was a great price and value,0 people found this helpful
Sabrina Parker,1.0 out of 5 stars,Y'all so wrong,the United States ,January 3 2020,Verified Purchase,  It wasn't even the described item! Totally different color and everything!! I sent it back the next day.,One person found this helpful
Amazon Customer,4.0 out of 5 stars,Access code,the United States ,September 12 2018,Verified Purchase,"  The old one grand kids could turn it on and play games and be able to play and not be able to access account. The new one you have to lock it down and use code to start to play and and access acount, would prefer the old way to be able to play and keep account locked. Other than that it works great, just have to keep it for myself and they use the old one, which is good for me.",0 people found this helpful
Randy M.,5.0 out of 5 stars,Works as it should,the United States ,August 19 2019,Verified Purchase,  Works as it should,0 people found this helpful
PapaDoc,5.0 out of 5 stars,lower price did not mean low quality,the United States ,January 5 2020,Verified Purchase,  works great and no problems with set up! very glad about this purchase!,0 people found this helpful
KueenFam,5.0 out of 5 stars,"Pay attention to delivery, watch for thief",the United States ,July 18 2019,Verified Purchase,  came in good condition. Just advise paying extra attention to the delivery for it. Seems some people might be able to tell what it is from the outside,0 people found this helpful
MELISSAFRIZZLEFROG,5.0 out of 5 stars,Awesome!!!,the United States ,December 30 2018,Verified Purchase,"  I love they shipped it to me 2 days after ordering,My son loves it no problems at all.He switched from Xbox one to this.. Xbox one S.I recommend it for the price:)",0 people found this helpful
Che,5.0 out of 5 stars,"Great buy, will do business in future",the United States ,March 29 2019,Verified Purchase,"  My daughter enjoys her system, thank you, it was exactly what was described...",0 people found this helpful
Douglas Greene,4.0 out of 5 stars,Opened but still new,the United States ,May 23 2019,Verified Purchase,"  Product has been opened but the Xbox, controller and hardware are all brand new or at least work like they are! Definitely satisfied with this purchase!",One person found this helpful
Elisha B.,5.0 out of 5 stars,Good,the United States ,June 12 2019,Verified Purchase,"  Great job it showed up a day early and has worked fine, I have owned it for about 4 months now, and I havent had any issues at all.",One person found this helpful
piddy,5.0 out of 5 stars,Worked well,the United States ,January 12 2020,Verified Purchase,  Son loved.,0 people found this helpful
Rob,5.0 out of 5 stars,Awesome Product & Service,the United States ,March 3 2019,Verified Purchase,  I am extremely pleased with my order. It is exactly what it's advertised to be. I received it very quick. I couldn't be happier with this purchase.,One person found this helpful
Christen Tyree,5.0 out of 5 stars,Good,the United States ,August 3 2019,Verified Purchase,  Good,0 people found this helpful
mike,5.0 out of 5 stars,Perfect,the United States ,March 20 2019,Verified Purchase,  Item came brand new in original packaging kids loved them of course,0 people found this helpful
Aaron G. Amos,5.0 out of 5 stars,Xbox 1s 1Tb good holdover to Xbox2,the United States ,August 29 2019,Verified Purchase,  Every thing was as advertised. Has been a good system lots of memory. After using an X for a while now using this S you can see it is a lil slower but still fun system,0 people found this helpful
allison,5.0 out of 5 stars,Great deal on a good product,the United States ,June 22 2019,Verified Purchase,  Works great,0 people found this helpful
Lauren Chambers,5.0 out of 5 stars,Xbox One,the United States ,October 9 2019,Verified Purchase,"  Arrived on time and works fantastically, Thanks so much!",0 people found this helpful
Tyler,3.0 out of 5 stars,Won't play region A blurays,the United States ,April 21 2019,Verified Purchase,  Won't play region A blurays,0 people found this helpful
cindy,1.0 out of 5 stars,Not worth it,the United States ,May 17 2019,Verified Purchase,  Got Wednesday and still cant get going. What a joke. Grandson very disappointed and parents very stressed,0 people found this helpful
Amazon Customer,1.0 out of 5 stars,Pos unit!,the United States ,November 4 2018,Verified Purchase,"  Screen blinks on and off, nightmare to get replaced. Should have bought playstation",2 people found this helpful
Awoke Clothing Co.,5.0 out of 5 stars,XBOX!!!,the United States ,May 9 2019,Verified Purchase,  I love it!,0 people found this helpful
Jason,5.0 out of 5 stars,De best,the United States ,February 1 2020,Verified Purchase,  Thank you so much from michigan to California. Game arrived in perfect condition and operated perfectly. I'm so thrilled tbqh. Got the best price in the nation. Thank you!!!,0 people found this helpful
WEBWORKS,1.0 out of 5 stars,Not worth my while,the United States ,November 18 2019,Verified Purchase,  Was not new and the boxe was dirty and damaged,0 people found this helpful
Amazon Customer,5.0 out of 5 stars,Good price for what it is.,the United States ,March 7 2020,Verified Purchase,  Of your buying this than I don't need to tell you it's worth the money...much faster than the original Xbox one.b,0 people found this helpful
Carol Davis,5.0 out of 5 stars,Great game box,the United States ,November 6 2019,Verified Purchase,  Got this to replace my son's xbox one he loves it ..playes on this game Box all the time works great and showed up on time highly recommended!,0 people found this helpful
Reads4fun,5.0 out of 5 stars,"Discontinued, but Still a Great Gaming Box",the United States ,January 30 2019,Verified Purchase,  No problems with this one and the price was great.,0 people found this helpful
Samuel Spring,5.0 out of 5 stars,Great,the United States ,July 15 2019,Verified Purchase,  Perfect Console,One person found this helpful
Amazon Customer,5.0 out of 5 stars,Been using for months,the United States ,April 2 2019,Verified Purchase,  Me and my son like it,0 people found this helpful
Cody E.,5.0 out of 5 stars,As advertised,the United States ,March 14 2020,Verified Purchase,  Arrived undamaged and as advertised. No issues hooking up. Everything worked good.,0 people found this helpful
sajra kajtezovic,5.0 out of 5 stars,Recommended,the United States ,December 12 2019,Verified Purchase,  Functional works great,0 people found this helpful
Amazon Customer,5.0 out of 5 stars,Happy,the United States ,November 24 2019,Verified Purchase,  Works great,0 people found this helpful
Amazon Customer,5.0 out of 5 stars,Yep,the United States ,April 21 2020,Verified Purchase,  It's workin,0 people found this helpful
Hansser D. Familia,4.0 out of 5 stars,Don't recommend playing pubg or most titles,the United States ,May 31 2019,Verified Purchase,  Great platform but most games run and look bad compared to an average pc.,0 people found this helpful
D. A. B.,5.0 out of 5 stars,Good,the United States ,April 10 2020,Verified Purchase,"  Item arrived sooner than expected. Well packaged, brand new. Great priced. Really a perfect transaction. Thanks seller!",0 people found this helpful
sarah pickett,5.0 out of 5 stars,WORKS PERFECT,the United States ,February 12 2020,Verified Purchase,  I've had this system for over a year and still working great.,0 people found this helpful
Bill Parkhurst Jr.,5.0 out of 5 stars,good,the United States ,September 5 2020,Verified Purchase,  good update,0 people found this helpful
Deven Seavey,4.0 out of 5 stars,Great product terrible shipping,the United States ,July 22 2019,Verified Purchase,  Brand new xbox never opened and working happy as could be even though the shipping was terrible,0 people found this helpful
JM,5.0 out of 5 stars,Xbox one S,the United States ,October 30 2019,Verified Purchase,  it is what it is... a XBOX One S . !!!,0 people found this helpful
Amazon Customer,3.0 out of 5 stars,Didn’t have 1tb of storage,the United States ,June 4 2019,Verified Purchase,"  The console came in the original box and looked like it had been opened. There were no codes for game pass and Xbox live but that didn’t bother me, my main problem is that the hard drive wasn’t a terabyte and only has around 700 gigabytes on it",One person found this helpful
Virginia Harris,5.0 out of 5 stars,Great purchase,the United States ,January 14 2020,Verified Purchase,"  Great product, fast shipping, kids love it!",0 people found this helpful
Robyn Cuneo,5.0 out of 5 stars,Perfect,the United States ,June 6 2020,Verified Purchase,  Works great,0 people found this helpful
Marcus,4.0 out of 5 stars,Your standard 1tb Xbox one s.,the United States ,May 25 2019,Verified Purchase,  For 200$ for a 1 TB model for the s is truly awesome. You won't find a better deal anywhere else. I could tell the Xbox box was open before but no damages. Everything works perfectly fine and was brand new.,One person found this helpful
Nina,5.0 out of 5 stars,Great.,the United States ,August 12 2019,Verified Purchase,  Arrived on time and as expected. No issues and works great!,0 people found this helpful
jeffreyburns,5.0 out of 5 stars,brand new in box,the United States ,October 1 2019,Verified Purchase,  I know some other reviews mentioned used consoles but mine was brand new in the box.  I bought this to mainly watch 4K movies and I am happy with it.,0 people found this helpful
Luis Arturo Mendez,5.0 out of 5 stars,Love it.,the United States ,August 31 2020,Verified Purchase,  This is a great replacement for my original Xbox one,0 people found this helpful
Michael Kendrick,3.0 out of 5 stars,Not bad but not impressive.,the United States ,April 20 2019,Verified Purchase,  It’s fine. And I assume it’s new. But even if it’s new it still has a weird noise when starting it up. Other than that it’s OK. I would assume because this one is discontinued.,0 people found this helpful
Sandi Hunter,5.0 out of 5 stars,Great value!,the United States ,July 2 2019,Verified Purchase,  Just as expected! Great!,0 people found this helpful
tj,5.0 out of 5 stars,Thank you,the United States ,June 14 2019,Verified Purchase,  Love it,0 people found this helpful
Truckertom ,5.0 out of 5 stars,Great,the United States ,October 21 2019,Verified Purchase,  Great,0 people found this helpful
