name,score,title,place,date,verified purch,text,upvotes
A. Yates,1.0 out of 5 stars,Lemon,the United States ,November 13 2020,Verified Purchase,"  Sad to give this a poor review.  I received a launch day unit which worked for three days and apparently died overnight.  No obvious reason for the death of the system but it simply won't turn on again.  MS support is sadly poor - just a circular loop back to the same canned and deficient ""support"" page, and an option to request a repair on the unit.  Says there's 24 hour online support, but I can't actually get it for this issue.  Likely returning it instead of requesting a repair.Prior to the hardware failure I was happy with the system.  As expected, load times were quite good, games looked great and were fluid.",34 people found this helpful
Amazon Customer,1.0 out of 5 stars,Stopped working less than 4hrs after got it.,the United States ,November 11 2020,Verified Purchase,  Everything was great then it just turned off and now it will not come back on. Called Microsoft and they were no help at all. I have always had Xbox and have not had any real issues until now.Now when looking online you can find all kinds of people with the same issue.,35 people found this helpful
Shawn P Vigneri,1.0 out of 5 stars,Launch day console = expensive brick,the United States ,November 11 2020,Verified Purchase,"  I was very excited to receive my console on launch day after waiting 2 months from the pre-order. I was able to setup the console but it quickly died. The screen started flashing green then it shut off. After that it would either boot and then shut off after a minute or not boot at all. Lesson learned, don't buy the first generation of Microsoft's products!",30 people found this helpful
Kris W,1.0 out of 5 stars,Don't buy digital games. Not possible for kids to play while I am.,the United States ,November 23 2020,Verified Purchase,"  Over the years, I've invested in digital licenses for games.  felt like the future.  When the series x came out, I decided to give my xbox one S to my kids so they could play their games.  If we try to play at the same time, even though it is not the same game, we aren't allowed.  Okay... surely it will work if I sign in with my Kid's xbox live account that is connected to mine through family controls right?  Nope.  Maybe there is a way to loan the game or transfer the license?  Nope.  Basically I'm SOL, and will be looking for physical used games this holiday season for my kids.  The technology is ready for digital licensing, but MS is not.  I suggest buying physical (preferably used so it hurts their bottom line) until they empower digital owners.The series x itself has been fine.  Crashing a fair amount, but for now I blame that on COD:Cold War",26 people found this helpful
Ian,5.0 out of 5 stars,Will only get better with software updates.,the United States ,November 10 2020,Verified Purchase,"  The size of the console is so compact, it runs whisper quiet and improves upon most backward compatible titles.4K HDR, 120 FPS, 1440P support, even Dolby vision is supported on the console.You will get about 800GB usable space from the SSD for your games. Eventually you may have to spill for the 1TB sea gate expansion card. However, the best thing to do is use a USB 3.0 external HDD for your older games and put the new games on your main SSD.Currently there is an issue with VRR via HDMI at 4K. Variable refresh rate on certain TVs like LG and Panasonic. Microsoft is aware and will patch this via a software update. In the meantime, you can either turn VRR off on your Xbox video settings or run it at 1440p/1080p which works fine.Gamepass is the best value in gaming right now, Destiny 2 and the new expansion are on it.UI is running butter smooth and games are launching instantly. Right now there aren’t many new releases of games, but as time goes on there will be more titles to take advantage of this beast.Microsoft made an amazing console that will only age better over time.",24 people found this helpful
Chris Stewart,1.0 out of 5 stars,Bricked,the United States ,November 11 2020,Verified Purchase,"  Console bricked in less than 5 hours, already have it on its way to MS for replacement. Truly “Next Gen” ",26 people found this helpful
Yoal,1.0 out of 5 stars,Dont buy,the United States ,December 9 2020,purchase not verified,  Dont buy,47 people found this helpful
Jocelyn Rodriguez,1.0 out of 5 stars,Not worth it!!,the United States ,November 10 2020,Verified Purchase,"  Ewww i cant believe i acctually got this , its heavy and slow and is not worth it!! I honestly just threw it away could not handle this",23 people found this helpful
Tom,1.0 out of 5 stars,Very disappointed. Major issues causing some games to be unplayable. Stutters and shuts down,the United States ,November 14 2020,Verified Purchase,"  Have had major problems with this console. The disc drive doesn’t read discs after u turn the console off unless u eject and reinsert. Games like COD MW and Cold War lag incredibly bad to the point it’s unplayable due to the stuttering, yet when I try my Xbox one on the same tittles there is no lag at all. Lastly, my Xbox series x shuts completely down randomly in the middle of games - it’s done it 5 times sometimes back to back.Would not recommend buying until they patch all these problems (hopefully they can be patched",20 people found this helpful
Zack Rowe,1.0 out of 5 stars,I wish I could give it 5 star but...,the United States ,November 18 2020,Verified Purchase,"  Your browser does not support HTML5 video.   I wish I was able to give the Series X 5 stars but Microsoft customer service has killed it for me.A couple hours after receiving my Xbox it froze and after rebooting small pixel sized green squares littered the screen. I attempted swapping cables, changing TVs, and performing factory resets. In the end the issue would not go away.I decided to see if I could get a replacement through Amazon. Unfortunately they are currently out of stock. So the only option they provided was a refund or gift card.So I decided to give Microsoft support a shot, hoping that I could send it in for repair and get a replacement. This is where my journey of jumping hoops began.Microsoft only option for phone support is to fill out a form to have them call you, which is fine most of the time. After completing the form I was told I would receive a call in 90 minutes. 3 hours later I receive a call that the queue is full and my request was canceled. I would need to try again the next day.Next morning at 7am I refill out the form and receive a call from a human 2 minutes later. Woohoo! I explain my issues and the steps I took to trouble shoot. The service agent sets up a service request and says that I'll receive an email with what to do next.After hanging up and waiting a bit of time I receive the email and my shipping address is completely wrong from what I had told him on the phone....... So I hop online and resubmit the form to be called and I'm told it will be a 90 minute wait this time. 3 hours later I receive a call from a rep. I explain the mistake that was made on my address and he says that he needs to put me on hold so that he can escalate the issue. After being put on hold for 30 minutes  I abruptly get hung up on.After waiting to see if I would get a call back with no success I resubmit a request to be called online again. 4 hours later I get a call that the queue is full and my request has been canceled. I will need to try again tomorrow. I've owned every Xbox console that's been release and I would consider myself a bit of a fan boy. I shouldn't be required to jump through hoops like this when something doesn't work properly. This is EXTREMELY frustrating as a customer and has soured me a bit on the release of this console that I was super excited for a few months back.",20 people found this helpful
The Du,1.0 out of 5 stars,Power cord does not work!,the United States ,November 10 2020,Verified Purchase,  Release day. Power cord doesn’t event work. Power cycles on and off for 3 seconds. Used old power cord and it works fine.Garbage.,22 people found this helpful
