name,score,title,place,date,verified purch,text,upvotes
SHA,1.0 out of 5 stars,Crashes!,the United States ,November 12 2020,Verified Purchase,  My series X keeps crashing after a few mins of being turned on. I can just power it up and let it sit and it will power off completely without notice. Basically I have a very expensive paper weight! Smh!,19 people found this helpful
Trenton P Mongillo,5.0 out of 5 stars,Amazing new gaming all in one system from Microsoft.,the United States ,November 10 2020,Verified Purchase,"  Everything youve come to expect in a console launch. Polished hardware, subtle redesign of the included controller (1). Comes with a high speed hdmi 2.1 cable. The power brick is all internal and has a normal cable for power supply. If you are giving this as a holiday gift, consider powering it up before hand, it has approximately 900MB update to do right out of the box. The controller needs to be updated as well. You can use a smart phone and the xbox app to set up profiles and settings from your previous xbox one. You can also transfer your digital games from your xbox one over your own network instead of downloading them all from the xbox servers. Be warned! Digital game downloads can take hours to install depending on your internet connection.Great tech in this product. I like the future proof cables for when I decide to upgrade. Awesome form factor and it runs quiet and stays cool.Game pass is a must for xbox. Save thousands on games and have so many to choose from. With the latest additions of EA Play and Disney+ there is too much value for the consumer to pass up.",14 people found this helpful
Amazon Customer,1.0 out of 5 stars,Crap product,the United States ,November 10 2020,Verified Purchase,  It doesn’t even turn on played for 20 min then the power button doesn’t work whatsoever,20 people found this helpful
Irving Orozco,1.0 out of 5 stars,Sad,the United States ,November 13 2020,Verified Purchase,  I pre order this item and once received two days later after release day I was really disappointed it would turn off on me out of nowhere and would not turn back on at all. I had to shipped out to Microsoft so they could take a look at it but really disappointed how I didn’t get to enjoy my brand new Xbox and even worse I have to wait even longer now.,18 people found this helpful
Henry,1.0 out of 5 stars,Dead after 6 hours of use,the United States ,November 18 2020,Verified Purchase,  Your browser does not support HTML5 video.   Was working fine on the 1st day I got it. Used it for about 6 hours and I’ll say this console is a beast. Woke up the next day the console wouldn’t turn on at all tried all the troubleshooting steps and nothing. Decided to return it for my money back. Will wait until all the bugs are fixed with future series x consoles.,15 people found this helpful
Thuy,1.0 out of 5 stars,Defective consoles rumor is true...,the United States ,November 22 2020,Verified Purchase,  Console is defective. Turned it on to play for a few hours and it stopped working. Unplugged console for 30 mins and still the same problem.  Going to wait a day to see if there’s any change but this is ridiculous.,16 people found this helpful
DoggyDog420,1.0 out of 5 stars,Pair button to connect controller doesn’t work,the United States ,November 11 2020,Verified Purchase,  Broken out of the box and no way to talk to anyone to troubleshoot it. This world is a mess if you need customer service these days. There’s no one there to help. Will be returning. Pretty worthless if you can’t connect a controller.,13 people found this helpful
Anthony,5.0 out of 5 stars,Powerful and Quiet Console but don't buy from a scalper just wait,the United States ,November 11 2020,Verified Purchase,"  Great console, easy to set up (it's fast if you use the Xbox App didn't try the other normal way). If you're an everyday Xbox player, once set up, everything is familiar and ready to go. Truly feels like a PC upgrade more than a console upgrade with how smooth everything is.Also don't buy from scalpers, just wait, you're not missing anything even remotely worth the price they are charging.",12 people found this helpful
David,1.0 out of 5 stars,Do not pay this amount,the United States ,December 9 2020,purchase not verified,  Scalper this product is not worth this.,36 people found this helpful
T. A. Ashley,4.0 out of 5 stars,"Despite problems on the delivery side, this console really...uh...delivers.",the United States ,November 22 2020,Verified Purchase,"  Let me get the ugly out of the way first. The industry as a whole completely botched the release of this generation of consoles. Pandemic aside, supply was nowhere near adequate to demand and very likely should have waited until late Winter/early Spring 2021 to launch. Additionally, internet commerce infrastructure was wholly inadequate to handle orders, particularly ones plagued by shopping bots used by scalpers to scoop up the already limited supply and sell them for outrageous markups. Let's hope this was a learning experience for everyone, and measures are being put in place to avoid this from happening in the future. Since this isn't a review of the industry, it won't affect my final score. But it all bore saying nonetheless.Right then, that out of the way... Despite my September 22 pre-order being delayed delivery by a day, my Series X arrived on November 11. Microsoft did an admirable job with the packaging, and the unboxing felt like an event. Once you broke the transparent seals on the box, the lid lifted like a treasure chest, the XBox nestled in thick packing foam on either side and from the lid above. The console was carefully wrapped in thin black paper-foam with an black and green banner around it that boldly invited you to ""Power Your Dreams!""Set-up was a breeze. The Series X comes complete with HDMI 2.1 cable for 4K UHD display, power cord (and no ungainly brick this time), and of course the evolutionary Series controller. With everything connected, the first powerup was exciting. The new splash screen is powerful, reminiscent of the old THX sound intro that is truly amazing if you have the volume turned up. Once setup begins in earnest, you can continue either using the controller or by coupling the console with the new XBox app on your phone. I encountered a few issues using the phone app (which is still listed as a beta on the android market), so I continued the setup with the controller. It went without a hitch and plugged all my old XBox One settings in through the miracle of the Cloud. I also plugged in my external HDD, and it happily recognized all my old games.The user interface is like the return of a familiar old friend. It's very much like the latest iteration on the XBox One family, and you'll be right at home from the very beginning. I know a common complaint is that it didn't seem ""next gen enough"" for many, but there's something to be said for being able to navigate a new device without having to learn all the new nooks and crannies they've shuffled things into. The first thing you'll notice is how fast the UI is now. ""Snappy"" is a term often used to describe how it feels. There's no lag in moving from section to section, button presses register immediately and there's the sense that the whole UI has had a quiet yet unmistakable injection of horsepower. The store, rather than appearing tacked-on and sluggish, comes up post haste. Overall the system is very responsive, and a pleasure to use.Of course, the system really shines if you have Game Pass. Those new to XBox who take advantage of the Game Pass introductory offer will be treated to over a hundred titles you can immediately download and play. Additionally, EA Play and Microsoft teamed up, so the player has access to dozens more games from the EA library. Sports titles like Madden and FIFA, old school RPG's like the Dragon Age series and much more are at your fingertips. Many titles either already have been enhanced to take advantage of the Series S/X feature set, or are currently being updated for the very same.Now, all of this is to dance around the very obvious omission in the Series launch: a lack of original and unique launch titles. Halo Infinite was to be that vehicle for Microsoft, but after this Summer's lackluster presentation, the game was delayed until 2021. Its absence is keenly felt in the marketing and product packaging which still prominently features Master Chief as its launch mascot.That said, the future looks bright indeed for the XBox. Microsoft's manic acquisition of studios, not least of which is the still-pending Zenimax deal, promises some console exclusives that are truly ground-breaking. Between Bethesda's rich legacy in the Elder Scrolls and Fallout, Arkane and id Software, and much more, there is an embarrassment of riches on the horizon for XBox players, as well as PC and mobile gamers who plug into the Game Pass content conduit.That's all fine and well, but launch exclusives aside, how does it play games? The answer is, ""Quite well, actually!"" Those titles explicitly enhanced to take advantage of the new consoles' power are vibrant, buttery-smooth at 60 (or even 120 in some instances) frames per second, and a joy to both behold and to experience. Even older legacy titles from the original XBox and 360 eras can take advantage of the raw power that the Series brings to bear, with many benefiting from graphical upscaling, auto-HDR, and other behind-the-scenes enhancements. If you've been immersed for years in the XBox culture, you have likely amassed quite the library of games, the vast majority of which are playable on the new hardware.Finally, the new controller as has been mentioned previously, is more evolutionary than revolutionary. The back of the shell has a textured ""grippy"" new feel to it, as have the shoulder- and trigger buttons. The D-pad now features more of an 8-way control surface rather than the more familiar 4 cardinal directions. The sticks also have a slightly different feel and grip; not so much that it's unfamiliar, but it's noticeable nevertheless. A downside is Microsoft's insistence on not shipping the controller with a rechargeable battery. It takes two ""AA"" cells, and to be fair it's pretty conservative on power draw with a fresh pair of alkalines lasting a good many hours of play. And you can buy the branded recharge kit for an additional $25-ish, but seriously in this day and age, it should come as standard equipment. Luckily, the controller is so similar to the XBox One's controller, that many of the latter's add-ons work perfectly well on the new one. I swapped the recharge pack from my XBO's controller with no issue, and aside from requiring a USB-C cable rather than the older micro-USB connector, it works just fine. The same is true of the headset adapter that plugs into the bottom of the unit. It works without a hitch, which suits me just fine.OK, final verdict. The Series X is a great powerhouse of a next gen console. While Game Pass is a great deal and I can heartily recommend it, the new consoles are at time of launch a weapon in search of a war. With no new titles to really showcase the new features of the console, the whole experience, while somewhat satisfying, feels a bit hollow. I'm sure once the new titles start flowing in the coming months and years, the true value of the Series consoles will shine forth, but if it's a ""fear of missing out"" experience, I can honestly recommend you wait until availability and new titles can be brought together next year. For that reason, as of the date of writing this (November 22, 2020), I'm reserving one star from the review in the hopes that once those new titles arrive I can revise the review and give the XBox Series X the 5-stars it rightly deserves.Now if I could only get my hands on a Playstation 5... ugh. *rolls eyes*",8 people found this helpful
